sep=;
Month;Year;Ageing Population/Social Care for the Elderly;AIDS;Animal Welfare;Bird Flu/Flu Pandemic;BSE/Beef;Coal Review/Pit Closures;Common Market/EU/Europe/Single European Currency;Countryside/Rural Life;Crime/Law and Order/Violence/Vandalism;Defence/Foreign Affairs/International Terrorism;Drug Abuse;Economy/Economic Situation;Education/Schools;Foot and Mouth Outbreak/Farming Crisis;German Reunification/Eastern Europe;GM/GM (Genetically Modified) Foods;Heathrow/Third Runway at Heathrow;Housing;Immigration/Race Relations;Inflation/Prices;Lack of Faith in Government;Inner Cities;Local Government/Council Tax/Poll Tax;Low Pay/Minimum Wage/Fair Wages;Morality/Individual Behaviour;Nationalisation/Government Control of Institutions;NHS/Hospitals/Health Care;Northern Ireland;Nuclear Power/Fuels;Nuclear Weapons/Nuclear War/Disarmament;Pensions/Social Security;Petrol Prices/Fuel;Pollution/Environment;Pound/Exchange Rate/Value of Pound;Poverty/Inequality;Privatisation;Public Services in General;Scottish/Welsh Assembly/Devolution/Constitutional Reform;Taxation;Trade Unions/Strikes;Transport/Public Transport;Tsunami/South East Asia;Unemployment/Factory Closure/Lack Of Industry;Other;Don't Know;
Feb;1980;;;;;;;15;;19;;;;18;;;;;12;9;65;;;;;;;12;11;;;7;;;;;;;0;;55;;;41;;
Apr;1980;;;;;;;23;;32;;;;24;;;;;15;14;69;;;;;;;23;12;;;;;;;;;;0;;53;;;51;;
Sep;1982;;;;;;;4;;13;11;;;;;;;;;;32;;;;;;;;3;;;;;;;;;;0;;11;;;87;;
Oct;1982;;;;;;;4;;10;13;;;;;;;;;;34;;;;;;;;3;;;;;;;;;;0;;9;;;85;;
Nov;1982;;;;;;;6;;10;14;;;8;;;;;5;5;29;;;;;;;11;4;;;5;;;;;;;0;;6;;;87;;
Mar;1983;;;;;;;6;;8;8;;;8;;;;;5;3;24;;;;;;;6;3;;24;8;;;;;;;0;;7;;;83;;
Apr;1983;;;;;;;6;;9;10;;;11;;;;;6;4;25;;;;;;;10;3;;29;6;;;;;;;0;;8;;;83;;
Jun;1983;;;;;;;8;;9;15;;;9;;;;;4;3;21;;;;;;;11;1;;30;8;;;;;;;0;;5;;;86;;
Jul;1983;;;;;;;6;;15;13;;;10;;;;;4;4;21;;;;;;;11;2;;26;6;;;;;;;0;;4;;;79;;
Aug;1983;;;;;;;4;;15;11;;;9;;;;;5;4;23;;;;;;;14;3;;22;6;;;;;;;0;;4;;;82;;
